time,serviceboilerhe,brewboilerhe,pumpon
0036138148,0,127,0
0036225640,127,0,0
0036313140,127,0,0
0036400636,127,0,0
0036488136,127,0,0
0036575652,127,0,0
0036663192,127,0,0
0036750608,127,0,0
0036838024,127,0,0
0036925424,127,0,0
0037012836,127,0,0
0037089444,127,0,0
0037176876,127,0,0
0037264840,0,127,0
0037352360,0,127,0
0037428960,0,127,0
0037516460,0,127,0
0037604036,0,127,0
0037691536,0,127,0
0037778932,0,127,0
0037866304,0,127,0
0037953708,0,127,0
0038041104,0,127,0
0038129168,0,127,0
0038216952,127,0,0
0038304472,127,0,0
0038391976,127,0,0
0038479492,127,0,0
0038566952,127,0,0
0038654508,127,0,0
0038741948,127,0,0
0038829364,127,0,0
0038916760,127,0,0
0039004180,127,0,0
0039091676,127,0,0
0039179092,127,0,0
0039267076,0,127,0
0039354584,0,127,0
0039442096,0,127,0
0039529596,0,127,0
0039617168,0,127,0
0039704632,0,127,0
0039792048,0,127,0
0039879460,0,127,0
0039966824,0,127,0
0040054216,0,127,0
0040131384,0,127,0
0040218864,127,0,0
0040306380,127,0,0
0040393880,127,0,0
0040470508,127,0,0
0040557964,127,0,0
0040645524,127,0,0
0040732980,127,0,0
0040820376,127,0,0
0040907796,127,0,0
0040995216,127,0,0
0041082688,127,0,0
0041170064,127,0,0
0041258668,0,127,0
0041346168,0,127,0
0041433660,0,127,0
0041521180,0,127,0
0041608756,0,127,0
0041696232,0,127,0
0041783644,0,127,0
0041871000,0,127,0
0041958396,0,127,0
0042045828,0,127,0
0042133872,0,127,0
0042221344,127,0,0
0042308864,127,0,0
0042396356,127,0,0
0042483872,127,0,0
0042571344,127,0,0
0042658904,127,0,0
0042746336,127,0,0
0042833748,127,0,0
0042921168,127,0,0
0043008580,127,0,0
0043096040,127,0,0
0043172596,127,0,0
0043261368,127,0,0
0043348888,127,0,0
0043436424,127,0,0
0043523964,127,0,0
0043611536,127,0,0
0043699056,127,0,0
0043786464,127,0,0
0043862984,127,0,0
0043950412,127,0,0
0044037824,127,0,0
0044125884,127,0,0
0044202464,127,0,0
0044289956,127,0,0
0044377484,127,0,0
0044464936,127,0,0
0044552456,127,0,0
0044640024,127,0,0
0044727476,127,0,0
0044814888,127,0,0
0044902304,127,0,0
0044989712,127,0,0
0045077120,127,0,0
0045153680,127,0,0
0045242180,127,0,0
0045329696,127,0,0
0045417224,127,0,0
0045493864,127,0,0
0045581380,127,0,0
0045668928,127,0,0
0045756380,127,0,0
0045843812,127,0,0
0045931220,127,0,0
0046018652,127,0,0
0046106732,127,0,0
0046194156,127,0,0
0046281672,127,0,0
0046369144,127,0,0
0046456656,127,0,0
0046544156,127,0,0
0046631724,127,0,0
0046719184,127,0,0
0046806596,127,0,0
0046893996,127,0,0
0046981408,127,0,0
0047068784,127,0,0
0047156260,127,0,0
0047233872,127,0,0
0047321408,127,0,0
0047408940,127,0,0
0047496460,127,0,0
0047583972,127,0,0
0047671532,127,0,0
0047758964,127,0,0
0047846404,127,0,0
0047933816,127,0,0
0048021248,127,0,0
0048109332,127,0,0
0048197072,127,0,0
0048284588,127,0,0
0048372060,127,0,0
0048459552,127,0,0
0048547052,127,0,0
0048634644,127,0,0
0048722084,127,0,0
0048809516,127,0,0
0048896912,127,0,0
0048984324,127,0,0
0049071696,127,0,0
0049159176,127,0,0
0049237072,0,127,0
0049324560,0,127,0
0049412080,0,127,0
0049499588,0,127,0
0049576132,0,127,0
0049663704,0,127,0
0049751144,0,127,0
0049838556,0,127,0
0049925964,0,127,0
0050013360,0,127,0
0050101424,0,127,0
0050188876,0,127,0
0050265436,127,0,0
0050352952,127,0,0
0050440452,127,0,0
0050527964,127,0,0
0050615524,127,0,0
0050703000,127,0,0
0050790420,127,0,0
0050866896,127,0,0
0050954316,127,0,0
0051041728,127,0,0
0051129208,127,0,0
0051206764,127,0,0
0051294276,127,0,0
0051381808,127,0,0
0051469284,127,0,0
0051556816,127,0,0
0051644396,127,0,0
0051731888,127,0,0
0051819320,127,0,0
0051906736,127,0,0
0051994168,127,0,0
0052081608,127,0,0
0052169608,127,0,0
0052257120,127,0,0
0052344632,127,0,0
0052432136,127,0,0
0052519660,127,0,0
0052607216,127,0,0
0052694708,127,0,0
0052782124,127,0,0
0052869472,127,0,0
0052956904,127,0,0
0053044300,127,0,0
0053131788,127,0,0
0053209948,127,0,0
0053297464,0,127,0
0053384952,0,127,0
0053472428,0,127,0
0053559920,0,127,0
0053647496,0,127,0
0053734948,0,127,0
0053822364,0,127,0
0053909772,0,127,0
0053997184,0,127,0
0054084580,0,127,0
0054172580,0,127,0
0054260112,127,0,0
0054347628,127,0,0
0054435124,127,0,0
0054522632,127,0,0
0054599296,127,0,0
0054686812,127,0,0
0054774184,127,0,0
0054861596,127,0,0
0054948992,127,0,0
0055036404,127,0,0
0055123884,127,0,0
0055212608,127,0,0
0055289212,0,127,0
0055376684,0,127,0
0055464180,0,127,0
0055551672,0,127,0
0055639256,0,127,0
0055726708,0,127,0
0055814124,0,127,0
0055901536,0,127,0
0055988928,0,127,0
0056076304,0,127,0
0056164364,0,127,0
0056251856,127,0,0
0056339356,127,0,0
0056426868,127,0,0
0056514380,127,0,0
0056601960,127,0,0
0056689448,127,0,0
0056776824,127,0,0
0056864216,127,0,0
0056940740,127,0,0
0057028172,127,0,0
0057115632,127,0,0
0057204056,127,0,0
0057280640,127,0,0
0057368172,127,0,0
0057455692,127,0,0
0057543224,127,0,0
0057630804,127,0,0
0057718296,127,0,0
0057805732,127,0,0
0057893160,127,0,0
0057980528,127,0,0
0058067968,127,0,0
0058156028,127,0,0
0058243844,127,0,0
0058331360,127,0,0
0058418852,127,0,0
0058506372,127,0,0
0058593860,127,0,0
0058681400,127,0,0
0058768812,127,0,0
0058856224,127,0,0
0058943644,127,0,0
0059031036,127,0,0
0059118532,127,0,0
0059207240,127,0,0
0059294756,0,127,0
0059382208,0,127,0
0059469728,0,127,0
0059557240,0,127,0
0059644796,0,127,0
0059732268,0,127,0
0059819660,0,127,0
0059907080,0,127,0
0059994492,0,127,0
0060081844,0,127,0
0060169884,0,127,0
0060257404,127,0,0
0060344916,127,0,0
0060432416,127,0,0
0060519928,127,0,0
0060607488,127,0,0
0060695000,127,0,0
0060782356,127,0,0
0060869772,127,0,0
0060957184,127,0,0
0061033708,127,0,0
0061121180,127,0,0
0061209892,127,0,0
0061297408,0,127,0
0061373972,0,127,0
0061461476,0,127,0
0061548964,0,127,0
0061636564,0,127,0
0061724012,0,127,0
0061811424,0,127,0
0061898820,0,127,0
0061986208,0,127,0
0062073600,0,127,0
0062161664,0,127,0
0062249140,127,0,0
0062336656,127,0,0
0062424176,127,0,0
0062511668,127,0,0
0062599248,127,0,0
0062686700,127,0,0
0062774120,127,0,0
0062861532,127,0,0
0062948948,127,0,0
0063036344,127,0,0
0063123836,127,0,0
0063212592,127,0,0
0063300104,127,0,0
0063387584,127,0,0
0063475120,127,0,0
0063562640,127,0,0
0063650232,127,0,0
0063737732,127,0,0
0063825144,127,0,0
0063912560,127,0,0
0064000000,127,0,0
0064087384,127,0,0
0064175444,127,0,0
0064262936,127,0,0
0064350452,127,0,0
0064437960,127,0,0
0064525460,127,0,0
0064613028,127,0,0
0064700528,127,0,0
0064787900,127,0,0
0064875312,127,0,0
0064962728,127,0,0
0065050140,127,0,0
0065126724,127,0,0
0065215472,127,0,0
0065302968,0,127,0
0065390488,0,127,0
0065477940,0,127,0
0065565436,0,127,0
0065653008,0,127,0
0065740476,0,127,0
0065816996,0,127,0
0065904408,0,127,0
0065991820,0,127,0
0066079172,0,127,0
0066156336,0,127,0
0066243812,127,0,0
0066331340,127,0,0
0066418840,127,0,0
0066506348,127,0,0
0066593848,127,0,0
0066681376,127,0,0
0066768792,127,0,0
0066856200,127,0,0
0066943628,127,0,0
0067031028,127,0,0
0067107624,127,0,0
0067195040,127,0,0
0067283784,0,127,0
0067371280,0,127,0
0067447884,0,127,0
0067535396,0,127,0
0067622972,0,127,0
0067710460,0,127,0
0067797876,0,127,0
0067885248,0,127,0
0067972636,0,127,0
0068060056,0,127,0
0068148096,0,127,0
0068235908,127,0,0
0068323404,127,0,0
0068410896,127,0,0
0068498412,127,0,0
0068585864,127,0,0
0068673440,127,0,0
0068760872,127,0,0
0068848284,127,0,0
0068935700,127,0,0
0069023108,127,0,0
0069110580,127,0,0
0069198020,127,0,0
0069286744,0,127,0
0069374260,0,127,0
0069461752,0,127,0
0069549272,0,127,0
0069636828,0,127,0
0069724300,0,127,0
0069811708,0,127,0
0069899144,0,127,0
0069986496,0,127,0
0070073908,0,127,0
0070161952,0,127,0
0070249448,127,0,0
0070336960,127,0,0
0070424460,127,0,0
0070511972,127,0,0
0070599464,127,0,0
0070687004,127,0,0
0070774416,127,0,0
0070861832,127,0,0
0070949224,127,0,0
0071036636,127,0,0
0071124116,127,0,0
0071200656,127,0,0
0071289140,127,0,0
0071376656,127,0,0
0071464172,127,0,0
0071540820,127,0,0
0071628392,127,0,0
0071715896,127,0,0
0071803328,127,0,0
0071890696,127,0,0
0071978136,127,0,0
0072065568,127,0,0
0072153632,127,0,0
0072241108,127,0,0
0072328616,127,0,0
0072416136,127,0,0
0072503628,127,0,0
0072591100,127,0,0
0072678660,127,0,0
0072766088,127,0,0
0072853508,127,0,0
0072940920,127,0,0
0073028332,127,0,0
0073115792,127,0,0
0073192312,127,0,0
0073281408,0,127,0
0073368904,0,127,0
0073456416,0,127,0
0073543912,0,127,0
0073631488,0,127,0
0073718964,0,127,0
0073806376,0,127,0
0073893724,0,127,0
0073981140,0,127,0
0074068552,0,127,0
0074156612,127,0,0
0074244092,127,0,0
0074331600,127,0,0
0074419100,127,0,0
0074506612,127,0,0
0074583176,127,0,0
0074670748,127,0,0
0074758184,127,0,0
0074845616,127,0,0
0074933008,127,0,0
0075020424,127,0,0
0075107900,127,0,0
0075195276,127,0,0
0075272888,127,0,0
0075360408,127,0,0
0075447940,127,0,0
0075535440,127,0,0
0075623056,127,0,0
0075710556,127,0,0
0075797988,127,0,0
0075885380,127,0,0
0075972800,127,0,0
0076060232,127,0,0
0076148316,127,0,0
0076235752,127,0,0
0076323268,127,0,0
0076410784,127,0,0
0076498280,127,0,0
0076585752,127,0,0
0076673316,127,0,0
0076760768,127,0,0
0076848188,127,0,0
0076935576,127,0,0
0077022988,127,0,0
0077110464,127,0,0
0077197856,127,0,0
0077275472,127,0,0
0077362988,127,0,0
0077450516,127,0,0
0077538056,127,0,0
0077614740,127,0,0
0077702256,127,0,0
0077789648,127,0,0
0077877080,127,0,0
0077964508,127,0,0
0078051940,127,0,0
0078140024,127,0,0
0078227772,127,0,0
0078304364,127,0,0
0078391848,127,0,0
0078479356,127,0,0
0078566860,127,0,0
0078654428,127,0,0
0078741888,127,0,0
0078829304,127,0,0
0078905836,127,0,0
0078993192,127,0,0
0079080600,127,0,0
0079168100,127,0,0
0079245968,0,127,0
0079333476,0,127,0
0079420976,0,127,0
0079508484,0,127,0
0079595940,0,127,0
0079683512,0,127,0
0079770952,0,127,0
0079858352,0,127,0
0079945760,127,0,0
0080033200,127,0,0
0080121352,127,0,0
0080208776,0,0,0
0080296236,0,0,0
0080383756,0,0,0
0080471284,0,0,0
0080558784,0,0,0
0080646376,0,0,0
0080733872,0,0,0
0080821280,0,0,0
0080908680,0,0,0
0080996080,0,0,0
0081083488,0,0,0
0081170968,0,0,0
0081259452,0,0,0
0081346972,0,0,0
0081434500,0,0,0
0081522000,0,0,0
0081609524,0,0,0
0081697052,0,0,0
0081784492,0,0,0
0081871900,0,0,0
0081959320,0,0,0
0082046736,0,0,0
0082134888,0,0,0
0082222304,0,0,0
0082309824,0,0,0
0082397308,0,0,0
0082484828,0,0,0
0082572332,0,0,0
0082659912,0,0,0
0082747376,0,0,0
0082834816,0,0,0
0082922216,0,0,0
0083009640,0,0,0
0083097016,0,0,0
0083184504,0,0,0
0083273296,0,0,0
0083360824,0,0,0
0083437452,0,0,0
0083524952,0,0,0
0083612472,0,0,0
0083700016,0,0,0
0083787436,0,0,0
0083874844,0,0,0
0083962264,0,0,0
0084038812,0,0,0
0084126940,0,0,0
0084214376,0,0,0
0084301840,0,0,0
