time,siga,sigb,sigc,pumpon,sige,sigf,sigg,sigh,sigt
0029715884,127,0,127,0,127,127,2,7,23
0029798220,127,0,127,0,127,127,2,7,23
0029881756,127,0,127,0,127,127,2,7,23
0029976140,127,63,0,0,127,127,2,0,16
0030060632,127,63,0,0,127,127,2,0,16
0030157164,127,63,0,0,127,127,2,0,16
0030241624,127,63,0,0,127,127,2,0,16
0030338160,127,63,0,0,127,127,2,0,16
0030422724,127,63,0,0,127,127,2,0,16
0030506000,127,63,0,0,127,127,2,0,16
0030588356,127,63,0,0,127,127,2,0,16
0030670700,127,63,0,0,127,127,2,0,16
0030764760,127,63,0,0,127,127,2,0,16
0030847060,127,63,0,0,127,127,2,0,16
0030929456,127,0,127,0,127,127,2,7,23
0031013372,127,0,127,0,127,127,2,7,23
0031097884,127,0,127,0,127,127,2,7,23
0031182388,127,0,127,0,127,127,2,7,23
0031266876,127,0,127,0,127,127,2,7,23
0031351360,127,0,127,0,127,127,2,7,23
0031447936,127,0,127,0,127,127,2,7,23
0031530596,127,0,127,0,127,127,2,7,23
0031624660,127,0,127,0,127,127,2,7,23
0031707004,127,0,127,0,127,127,2,7,23
0031789340,127,0,127,0,127,127,2,7,23
0031872876,127,0,127,0,127,127,2,7,23
0031966936,127,63,0,0,127,127,2,0,16
0032051424,127,63,0,0,127,127,2,0,16
0032147932,127,63,0,0,127,127,2,0,16
0032232436,127,63,0,0,127,127,2,0,16
0032316936,127,63,0,0,127,127,2,0,16
0032401504,127,63,0,0,127,127,2,0,16
0032497104,127,63,0,0,127,127,2,0,16
0032579448,127,63,0,0,127,127,2,0,16
0032661804,127,63,0,0,127,127,2,0,16
0032755808,127,63,0,0,127,127,2,0,16
0032838164,127,63,0,0,127,127,2,0,16
0032920564,127,0,127,0,127,127,2,7,23
0033003848,127,0,127,0,127,127,2,7,23
0033088376,127,0,127,0,127,127,2,7,23
0033172876,127,0,127,0,127,127,2,7,23
0033269404,127,0,127,0,127,127,2,7,23
0033353852,127,0,127,0,127,127,2,7,23
0033438412,127,0,127,0,127,127,2,7,23
0033521396,127,0,127,0,127,127,2,7,23
0033615460,127,0,127,0,127,127,2,7,23
0033697820,127,0,127,0,127,127,2,7,23
0033780152,127,0,127,0,127,127,2,7,23
0033862516,127,0,127,0,127,127,2,7,23
0033957684,127,63,0,0,127,127,2,0,16
0034041888,127,63,0,0,127,127,2,0,16
0034138440,127,63,0,0,127,127,2,0,16
0034222940,127,63,0,0,127,127,2,0,16
0034319456,127,63,0,0,127,127,2,0,16
0034404036,127,63,0,0,127,127,2,0,16
0034487916,127,63,0,0,127,127,2,0,16
0034570276,127,63,0,0,127,127,2,0,16
0034652548,127,63,0,0,127,127,2,0,16
0034746632,127,63,0,0,127,127,2,0,16
0034828968,127,63,0,0,127,127,2,0,16
0034911388,127,0,127,0,127,127,2,7,23
0034994376,127,0,127,0,127,127,2,7,23
0035078876,127,0,127,0,127,127,2,7,23
0035163384,127,0,127,0,127,127,2,7,23
0035259876,127,0,127,0,127,127,2,7,23
0035344364,127,0,127,0,127,127,2,7,23
0035428944,127,0,127,0,127,127,2,7,23
0035512220,127,0,127,0,127,127,2,7,23
0035606276,127,0,127,0,127,127,2,7,23
0035688620,127,0,127,0,127,127,2,7,23
0035770956,127,0,127,0,127,127,2,7,23
0035853260,127,0,127,0,127,127,2,7,23
0035948496,127,63,0,0,127,127,2,0,16
0036032736,127,63,0,0,127,127,2,0,16
0036129244,127,63,0,0,127,127,2,0,16
0036213752,127,63,0,0,127,127,2,0,16
0036310284,127,63,0,0,127,127,2,0,16
0036394872,127,63,0,0,127,127,2,0,16
0036479052,127,63,0,0,127,127,2,0,16
0036561348,127,63,0,0,127,127,2,0,16
0036643712,127,63,0,0,127,127,2,0,16
0036737772,127,63,0,0,127,127,2,0,16
0036820112,127,63,0,0,127,127,2,0,16
0036902528,127,0,127,0,127,127,2,7,23
0036985188,127,0,127,0,127,127,2,7,23
0037069696,127,0,127,0,127,127,2,7,23
0037154180,127,0,127,0,127,127,2,7,23
0037250688,127,0,127,0,127,127,2,7,23
0037335196,127,0,127,0,127,127,2,7,23
0037419780,127,0,127,0,127,127,2,7,23
0037503356,127,0,127,0,127,127,2,7,23
0037597404,127,0,127,0,127,127,2,7,23
0037679760,127,0,127,0,127,127,2,7,23
0037762064,127,0,127,0,127,127,2,7,23
0037844400,127,0,127,0,127,127,2,7,23
0037939636,127,63,0,0,127,127,2,0,16
0038023252,127,63,0,0,127,127,2,0,16
0038107756,127,63,0,0,127,127,2,0,16
0038192264,127,63,0,0,127,127,2,0,16
0038276768,127,63,0,0,127,127,2,0,16
0038361216,127,63,0,0,127,127,2,0,16
0038445800,127,63,0,0,127,127,2,0,16
0038540472,127,63,0,0,127,127,2,0,16
0038622828,127,63,0,0,127,127,2,0,16
0038705172,127,63,0,0,127,127,2,0,16
0038799252,127,63,0,0,127,127,2,0,16
0038881628,127,63,0,0,127,127,2,0,16
0038963944,127,0,127,0,127,127,2,7,23
0039048168,127,0,127,0,127,127,2,7,23
0039132692,127,0,127,0,127,127,2,7,23
0039217180,127,0,127,0,127,127,2,7,23
0039301684,127,0,127,0,127,127,2,7,23
0039386252,127,0,127,0,127,127,2,7,23
0039470752,127,0,127,0,127,127,2,7,23
0039553076,127,0,127,0,127,127,2,7,23
0039635412,127,0,127,0,127,127,2,7,23
0039729496,127,0,127,0,127,127,2,7,23
0039811832,127,0,127,0,127,127,2,7,23
0039895352,127,0,127,0,127,127,2,7,23
0039989736,127,63,0,0,127,127,2,0,16
0040074244,127,63,0,0,127,127,2,0,16
0040158724,127,63,0,0,127,127,2,0,16
0040243228,127,63,0,0,127,127,2,0,16
0040327728,127,63,0,0,127,127,2,0,16
0040412296,127,63,0,0,127,127,2,0,16
0040496196,127,63,0,0,127,127,2,0,16
0040590256,127,63,0,0,127,127,2,0,16
0040672596,127,63,0,0,127,127,2,0,16
0040754892,127,63,0,0,127,127,2,0,16
0040848972,127,63,0,0,127,127,2,0,16
0040931376,127,0,127,0,127,127,2,7,23
0041014984,127,0,127,0,127,127,2,7,23
0041099492,127,0,127,0,127,127,2,7,23
0041184012,127,0,127,0,127,127,2,7,23
0041268456,127,0,127,0,127,127,2,7,23
0041352956,127,0,127,0,127,127,2,7,23
0041437544,127,0,127,0,127,127,2,7,23
0041532540,127,0,127,0,127,127,2,7,23
0041614876,127,0,127,0,127,127,2,7,23
0041697216,127,0,127,0,127,127,2,7,23
0041791272,127,0,127,0,127,127,2,7,23
0041873616,127,0,127,0,127,127,2,7,23
0041957104,127,63,0,0,127,127,2,0,16
0042053028,127,63,0,0,127,127,2,0,16
0042137532,127,63,0,0,127,127,2,0,16
0042234060,127,63,0,0,127,127,2,0,16
0042318560,127,63,0,0,127,127,2,0,16
0042403124,127,63,0,0,127,127,2,0,16
0042487320,127,63,0,0,127,127,2,0,16
0042581380,127,63,0,0,127,127,2,0,16
0042663676,127,63,0,0,127,127,2,0,16
0042746016,127,63,0,0,127,127,2,0,16
0042828368,127,63,0,0,127,127,2,0,16
0042922488,127,0,127,0,127,127,2,7,23
0043005472,127,0,127,0,127,127,2,7,23
0043089976,127,0,127,0,127,127,2,7,23
0043174476,127,0,127,0,127,127,2,7,23
0043258940,127,0,127,0,127,127,2,7,23
0043343460,127,0,127,0,127,127,2,7,23
0043428024,127,0,127,0,127,127,2,7,23
0043523316,127,0,127,0,127,127,2,7,23
0043605664,127,0,127,0,127,127,2,7,23
0043688004,127,0,127,0,127,127,2,7,23
0043782080,127,0,127,0,127,127,2,7,23
0043864372,127,0,127,0,127,127,2,7,23
0043947904,127,63,0,0,127,127,2,0,16
0044043520,127,63,0,0,127,127,2,0,16
