time,b2,b5,b8,b16,b11,b14
57329840,558,515,206,485,77,536
57419768,558,515,206,485,77,536
57509896,558,515,206,485,77,536
57590040,558,515,206,485,77,536
57680188,558,515,206,485,77,536
57770108,558,515,206,485,77,536
57860232,558,515,206,485,77,536
57940276,558,515,206,485,77,536
58030400,558,515,206,485,77,536
58120508,558,515,205,484,77,536
58210432,558,515,205,484,77,536
58290556,558,515,206,485,77,536
58380684,558,515,205,484,77,536
58470688,558,515,205,484,77,536
58560816,558,515,206,484,76,536
58640836,558,515,205,483,76,536
58730860,558,515,205,483,76,536
58820988,558,515,205,484,77,536
58911016,558,515,205,483,76,536
58991120,558,515,205,483,76,536
59081108,558,515,205,483,76,536
59171216,558,515,205,484,77,536
59261220,558,515,205,484,77,536
59341344,558,515,204,482,76,536
59431348,558,515,205,484,77,536
59521476,558,515,205,483,76,536
59611480,558,515,205,483,76,536
59691584,558,515,205,483,76,536
59781612,558,515,205,483,76,536
59871636,558,515,204,483,77,536
59961744,558,515,205,483,76,536
60041768,558,515,204,482,76,536
60131776,558,515,205,483,76,536
60221880,558,515,205,483,76,536
60311908,558,515,205,483,76,536
60392012,558,515,204,482,76,536
60482120,558,515,205,483,76,536
60572124,558,515,204,482,76,536
60662236,558,515,205,483,76,536
60742240,558,515,204,482,76,536
60832248,558,515,205,482,75,536
60922352,558,515,204,482,76,536
61002376,558,515,205,483,76,536
61082488,558,515,205,483,76,536
61172408,558,515,205,483,76,536
61262516,558,515,204,482,76,536
61342520,558,515,204,481,75,536
61422612,558,515,204,481,75,536
61512636,558,515,204,481,75,536
61602636,558,515,204,481,75,536
61682744,558,515,204,481,75,536
61772852,558,515,204,481,75,536
61862856,557,515,203,480,76,536
61952940,558,515,204,481,75,536
62032944,558,515,204,481,75,536
62122948,558,515,204,481,75,536
62213156,558,515,204,481,75,536
62303184,558,515,204,481,75,536
62383168,558,515,204,481,75,536
62473296,557,515,203,479,75,536
62563300,557,515,203,479,75,536
62653428,557,515,203,479,75,536
62733456,557,515,203,479,75,536
62823564,557,515,203,478,74,536
