time,b2,b5,b8,b16,b11
56180736,556,614,198,444,451
56280860,556,614,197,443,451
56370972,556,614,198,444,451
56460872,556,614,197,443,451
56550976,556,614,197,443,451
56640980,556,614,197,443,451
56731084,556,614,197,443,451
56821068,555,614,196,440,451
56921176,555,614,196,441,451
57011164,555,614,196,441,451
57101272,555,614,195,439,451
57191280,555,614,195,440,451
57291384,555,614,195,440,451
57381392,555,614,195,440,451
57471496,555,614,195,439,451
57561464,555,614,194,439,451
57651548,555,614,194,440,452
57741548,555,614,194,439,451
57831552,554,614,193,437,451
57931660,554,614,193,437,451
58021636,554,614,192,436,452
58111760,554,614,192,436,451
58201848,554,614,192,437,452
58301856,554,614,192,436,451
58391964,554,614,192,436,451
58481948,554,614,191,435,452
58571952,554,614,191,435,451
58662040,554,614,191,435,451
58752044,553,614,190,433,451
58842048,553,614,190,433,451
58942132,553,614,190,433,451
59032256,553,614,189,432,452
59122260,553,614,189,432,451
59222272,553,614,189,432,451
59312376,553,614,189,432,451
59412488,553,614,189,432,451
59502492,553,614,188,432,452
59592512,553,614,188,431,451
59682616,553,614,188,431,451
59772644,553,614,188,432,452
59872756,552,614,187,429,451
59962780,552,614,186,428,451
60052868,552,614,186,428,452
60152876,552,614,186,428,451
60242904,552,614,186,428,451
60333112,552,614,186,428,451
60433116,552,614,185,427,451
60523120,551,614,184,425,451
60613248,551,614,184,425,451
60703276,551,614,184,425,451
60793280,551,614,184,425,451
60893412,551,614,183,423,451
60983420,551,614,183,424,451
61073524,551,614,183,424,451
61173528,551,614,182,423,451
61263636,551,614,182,423,451
61353748,551,614,181,422,451
61453760,551,614,181,422,451
61543760,551,614,181,422,452
61633868,551,614,180,422,452
61723852,551,614,180,422,452
61823880,551,614,181,422,451
61913968,551,614,180,422,452
62004072,551,614,180,422,452
62094052,551,614,180,422,452
62194064,551,614,179,421,452
62284152,551,614,178,419,452
62384140,551,614,179,420,451
62474248,551,614,178,419,451
62564232,551,614,178,420,452
62654336,550,614,177,417,451
62754320,550,614,177,417,451
62844408,550,614,177,417,451
62934392,551,614,178,420,452
63024400,550,614,177,417,451
63124588,550,614,177,418,452
63214576,550,614,177,418,452
63304580,550,614,177,417,451
63404564,550,614,176,416,452
63494672,550,614,176,416,451
63584776,550,614,176,416,451
63674764,550,614,176,417,452
63774752,550,614,175,415,451
63864880,549,614,174,414,452
63954868,549,614,174,412,451
64044872,550,614,175,416,452
64145076,549,614,174,413,452
64235060,549,614,173,411,451
64335068,549,614,174,414,452
64425072,549,614,173,413,452
64515176,549,614,174,414,452
64605280,549,614,173,412,452
64705388,549,614,173,413,452
64795268,549,614,172,412,452
64885372,549,614,172,411,451
64975356,549,614,172,411,451
65075464,549,614,172,412,452
65165552,548,614,171,409,451
65255436,549,614,172,412,452
65355540,548,614,170,409,452
65445628,548,614,171,408,451
65535616,548,614,171,410,452
65635704,548,614,170,409,452
65725708,548,614,169,407,451
65815808,548,614,170,409,452
65905792,548,614,169,407,452
65995912,548,614,169,408,452
66096024,548,614,169,408,452
66186020,548,614,169,408,452
66276124,548,614,168,407,452
66376028,548,614,168,407,452
66466152,548,614,168,407,452
66556156,547,614,167,405,452
66656284,547,614,167,405,452
66746288,547,614,167,405,452
66836368,547,614,167,404,452
66926388,547,614,166,404,452
67026496,547,614,166,403,451
67116500,547,614,165,403,452
67206604,547,614,165,403,452
67306732,547,614,165,403,452
67396756,546,614,164,401,452
67486856,546,614,164,400,452
67586860,546,614,164,401,452
67676864,546,614,163,400,452
67766964,546,614,163,400,452
67856948,546,614,163,400,452
67947052,546,614,163,400,452
68047040,546,614,163,400,452
68137044,546,614,162,399,452
68227128,546,614,162,398,451
68327228,546,614,162,399,452
68417208,545,614,161,397,452
68507296,545,614,161,396,452
68607300,545,614,161,397,452
68697388,545,614,161,397,452
68787392,545,614,161,397,452
68877416,545,614,160,396,452
68977396,545,614,160,396,452
69067500,545,614,160,396,452
69157484,545,614,160,395,451
69257592,544,614,159,394,452
69347700,544,614,159,394,452
69437704,544,614,159,393,452
69537692,544,614,159,394,452
69627796,544,614,159,394,452
69717796,544,614,158,391,451
69807896,544,614,158,392,452
69897920,544,614,158,392,452
69998028,544,614,158,393,452
70088036,544,614,158,393,452
70178140,544,614,158,393,452
70278132,544,614,157,392,452
70368240,544,614,157,392,452
70468220,544,614,157,392,452
70558324,544,614,157,392,452
70648352,544,614,157,392,452
70738456,544,614,156,390,452
70828456,544,614,156,391,452
70928560,543,614,155,389,452
71018564,543,614,155,389,452
71108668,543,614,155,389,452
71208688,543,614,155,388,452
71298692,543,614,155,389,452
71388796,543,614,155,389,452
71488824,543,614,154,388,452
71578924,542,614,153,385,452
71668928,542,614,153,386,452
71758952,542,614,153,386,452
71849056,542,614,153,385,452
71949056,542,614,152,385,452
72039160,542,614,152,384,452
72129260,542,614,152,384,452
72229264,542,614,152,385,452
72319268,542,614,152,384,452
72409372,542,614,151,511,451
72509460,542,614,151,384,452
72599464,542,614,150,511,452
72689568,542,614,150,510,452
72779572,542,614,149,509,452
72869676,542,614,150,511,452
72969688,542,614,150,511,452
73059692,542,614,149,510,452
73159804,541,614,148,506,451
73249812,542,614,149,510,452
73339920,542,614,149,510,452
73439944,541,614,148,508,452
73529932,541,614,148,508,452
73620040,541,614,148,508,452
73710048,541,614,148,508,452
73800136,541,614,148,507,452
73900264,541,614,148,508,452
73990248,541,614,147,507,452
74080276,541,614,148,508,452
